content,tokenized_content,sentiment,sentiment_type
@user toronto star let’s talk about @user screw ups not someone else’s. healthcare sold. education sold greenbelt sold but here he crawls out of his hole and you let him to complain about something he would have done for a dollar in his corrupt pocket.,"['toronto', 'star', 'let', 'a', 'talk', 'screw', 'ups', 'someone', 'else', 'a', 'healthcare', 'sold', 'education', 'sold', 'greenbul', 'sold', 'crawl', 'hole', 'let', 'complain', 'something', 'would', 'done', 'dollar', 'corrupt', 'pocket']",-0.5,Negative
"@user @user trudeau is losing his memory.
he has been pm for 8 years.
he is to blame for all of canada's serious problems over 8 years of blunders, cover ups, trillions of pricing in debt, incompetence , corruption +++++","['trudeau', 'losing', 'memory', 'pm', 'a', 'year', 'blame', 'canada', 'is', 'serious', 'problem', 'a', 'year', 'blunder', 'cover', 'ups', 'trillion', 'pricing', 'debt', 'incompetence', 'corruption', '+++++']",-0.3333333333333333,Negative
"ffs , poilievre is a wannabe fascist. no person of conscience would vote for him. gold grief 🇨🇦canada wake up &amp; learn from usa fvck ups.","['ff', 'poilievre', 'wannabe', 'fascist', 'person', 'conscience', 'would', 'vote', 'gold', 'grief', 'canada', 'wake', 'amp', 'learn', 'usa', 'fuck', 'ups']",-0.6000000000000001,Negative
"@user who can help me track a package with express saturday service in canada ?? i’m waiting and waiting but cutting time past already! i must have this package today , seems no one can contact the driver although it showing out for delivery","['help', 'track', 'package', 'express', 'saturday', 'service', 'canada', 'a', 'waiting', 'waiting', 'cutting', 'time', 'past', 'already', 'must', 'package', 'today', 'seems', 'one', 'contact', 'driver', 'although', 'showing', 'delivery']",-0.425,Negative
@user you are the worst! been trying to retrieve a package with tracking # 1z860y540400398204 for almost 2 weeks now. your people have been giving me the run around,"['worst', 'trying', 'retrieve', 'package', 'tracking', '1z860y540400398204', 'almost', 'a', 'week', 'people', 'giving', 'run', 'around']",-1.0,Negative
@user worst experience ever with ups and ups customer service.,"['worst', 'experience', 'ever', 'ups', 'ups', 'customer', 'service']",-1.0,Negative
you will be playing with the mentally ill structure in the mls or perhaps canada won't pick mls any longer for call ups.,"['playing', 'mentally', 'ill', 'structure', 'ml', 'perhaps', 'canada', 'wo', 'not', 'pick', 'ml', 'longer', 'call', 'ups']",-0.5,Negative
"@user @user yup. all because charlotte spoke up and told the woman — yes, a woman—that she was treating the staff very badly. thus resulted in charlotte, among other things, getting slammed into the counter by a much larger person.","['yup', 'charlotte', 'spoke', 'told', 'woman', 'a', 'yes', 'woman—that', 'treating', 'staff', 'badly', 'thus', 'resulted', 'charlotte', 'among', 'thing', 'getting', 'slammed', 'counter', 'much', 'larger', 'person']",-0.3499999999999999,Negative
what r the worst shipping companies ever and why is it ups &amp; canada post,"['r', 'worst', 'shipping', 'company', 'ever', 'ups', 'amp', 'canada', 'post']",-1.0,Negative
@user @user your tracking system is 5 days behind and still sending me reminders for a pickup i did on may 25th ! what a joke 🤣 #badservice #justquitthedeliverybusiness,"['tracking', 'system', 'a', 'day', 'behind', 'still', 'sending', 'reminder', 'pickup', 'may', 'with', 'joke', 'a', 'badservice', 'justquitthedeliverybusiness']",-0.4,Negative
"where do all the grown ups buy their bed frames from?
in canada. bc wayfair seems wild and the other options seem boring 😫","['grown', 'ups', 'buy', 'bed', 'frame', 'canada', 'bc', 'affair', 'seems', 'wild', 'option', 'seem', 'boring', 'a']",-0.45,Negative
@user . i was supposed to receive my package on friday. it never came. i’ve been trying to get an updated status but your support line hasn’t been helpful. so frustrating…,"['supposed', 'receive', 'package', 'friday', 'never', 'came', 'a', 'trying', 'get', 'updated', 'status', 'support', 'line', 'a', 'helpful', 'frustrating']",-0.4,Negative
"@user why do your drivers not identify themselves when they try to buzz up, not try again, and then claim that they had a failed delivery?  i’m not going to buzz someone into my building i don’t know.  🤬","['driver', 'identify', 'try', 'buzz', 'try', 'claim', 'failed', 'delivery', 'a', 'going', 'buzz', 'someone', 'building', 'a', 'know', 'a']",-0.5,Negative
"@user @user @user @user @user do you not know what pr is for companies? how to save face when your higher ups makes absurd decisions and you have to likewise come up with absurd logic to support them? yuri's face not matching the ""cheekbones"" is the worst pr statement in the history of game mocap and dev.","['know', 'pr', 'company', 'save', 'face', 'higher', 'ups', 'make', 'absurd', 'decision', 'likewise', 'come', 'absurd', 'logic', 'support', 'yuri', 'is', 'face', 'matching', 'gt', 'cheekbone', 'gt', 'worst', 'pr', 'statement', 'history', 'game', 'map', 'dev']",-0.43,Negative
"👉🏾 wheel 🛞 🛞🛞🛞come again…
jah kettle🇯🇲 &amp; 
🇪🇨digydon  performing in toronto, canada 🇨🇦 “the remix of pon di gal dem base” 
💥big ups to digydon @user &amp; @user 
🔥🔥🔥🙏🏽🙏🏽🙏🏽🔥🔥🔥 http","['gt', 'wheel', 'a', '\U0001f6de\U0001f6de\U0001f6decome', 'again', 'ja', 'kettle', 'amp', '🇪🇨digydon', 'performing', 'toronto', 'canada', 'gt', 'a', 'remix', 'pon', 'di', 'gal', 'dem', 'base', 'a', 'big', 'ups', 'digimon', 'amp', '🔥🔥🔥🙏🏽🙏🏽🙏🏽🔥🔥🔥']",-0.4,Negative
@user @user @user @user this is sad,['sad'],-0.5,Negative
"@user @user @user ups. nasty one. see you later. oh, canada.","['ups', 'nasty', 'one', 'see', 'later', 'oh', 'canada']",-0.5,Negative
@user . please stop wasting my time and just tell me where to go collect my package because you have failed to delivered. all i want is the pickup location so i can stop wasting my time.. please and thank you. #worstdelivery,"['please', 'stop', 'wasting', 'time', 'tell', 'go', 'collect', 'package', 'failed', 'delivered', 'want', 'pickup', 'location', 'stop', 'wasting', 'time', 'gt', 'please', 'thank', 'worstdelivery']",-0.5,Negative
@user so frustrating. waited for a package that required a signature to be delivered despite several guarantees from customer support that  it would be delivered today. having taken the day off work to receive it..the inconvenience is infuriating. #worstserviceever.,"['frustrating', 'waited', 'package', 'required', 'signature', 'delivered', 'despite', 'several', 'guarantee', 'customer', 'support', 'would', 'delivered', 'today', 'taken', 'day', 'work', 'receive', 'gt', 'inconvenience', 'infuriating', 'worstserviceever']",-0.3333333333333333,Negative
"@user @user dude, @user is legitimately the worst.  amazon drivers are chasing down package thieves and chasing off bears to deliver packages.

ups won't even follow through on any complaints. they ingore problems like this. they don't care. it's that's why they're drivers don't.","['dude', 'legitimately', 'worst', 'amazon', 'driver', 'chasing', 'package', 'thief', 'chasing', 'bear', 'deliver', 'package', 'ups', 'wo', 'not', 'even', 'follow', 'complaint', 'ignore', 'problem', 'like', 'not', 'care', 'is', 'is', 'are', 'driver', 'not']",-0.65,Negative
