content,tokenized_content,sentiment,sentiment_type
"@user “medical authority” (only in the us and canada btw, they’re completely disregarding european med authorities)

not medical science. 

huge difference

if this medicine is so beneficial then why don’t any of the dozens of gender clinics around the us perform long term follow ups?","['a', 'medical', 'authority', 'a', 'u', 'canada', 'btw', 'a', 'completely', 'disregarding', 'european', 'med', 'authority', 'medical', 'science', 'huge', 'difference', 'medicine', 'beneficial', 'a', 'dozen', 'gender', 'clinic', 'around', 'u', 'perform', 'long', 'term', 'follow', 'ups']",0.07500000000000002,Neutral
"our 2023 🌳🍎☀️wellness walk️ ☀️🍎🌳 was a huge hit! friends, food, &amp; nature  — what could be better? 😊 

big shoutout to our amazing volunteers from @user @user @user &amp; @user ! the kids had a blast 🙌

#beyond330 #toronto http","['2023', '🌳🍎☀️wellness', 'walk', '☀️🍎🌳', 'huge', 'hit', 'friend', 'food', 'amp', 'nature', 'a', 'could', 'better', 'a', 'big', 'shootout', 'amazing', 'volunteer', 'amp', 'kid', 'blast', 'a', 'beyond330', 'toronto']",0.37500000000000006,Postive
"@user hello, we are truly sorry for the inconvenience caused. we would like to help you, could you send us your tracking number, email address, address and phone number via dm? -bryan http","['hello', 'truly', 'sorry', 'inconvenience', 'caused', 'would', 'like', 'help', 'could', 'send', 'u', 'tracking', 'number', 'email', 'address', 'address', 'phone', 'number', 'via', 'direct message', 'bryan']",-0.2,Neutral
@user @user same here in the great southern ontario canada.,"['great', 'southern', 'ontario', 'canada']",0.4,Postive
@user #harmony world 🌍 futuristic julia naimbale from namibia 🇳🇦 julia say ladies don’t have male elders here and from uganda and china on your prostate  ups!,"['harmony', 'world', 'a', 'futuristic', 'julia', 'naimbale', 'namibia', 'gt', 'julia', 'say', 'lady', 'a', 'male', 'elder', 'uganda', 'china', 'prostate', 'ups']",0.0,Neutral
"ups continues its record of having never successfully delivered a package to me. even fedex manages it, albeit always with an error, delay, or extra charge.

i've never had a problem with canada post, intelcom, or dhl.
i love dhl.","['ups', 'continues', 'record', 'never', 'successfully', 'delivered', 'package', 'even', 'index', 'manages', 'albeit', 'always', 'error', 'delay', 'extra', 'charge', 've', 'never', 'problem', 'canada', 'post', 'intelcom', 'del', 'love', 'del']",0.041666666666666664,Neutral
"@user if canada ups the incentives, i highly doubt other automakers would survive. my 2nd cousin who is visiting from the uk and is 6 yrs old was talking about pricingtsla all day. he wants a model y when he turns 16.","['canada', 'ups', 'incentive', 'highly', 'doubt', 'automated', 'would', 'survive', 'and', 'cousin', 'visiting', 'uk', 'a', 'yr', 'old', 'talking', 'pricingtsla', 'day', 'want', 'model', 'turn', 'gt']",0.13,Neutral
@user toronto star let’s talk about @user screw ups not someone else’s. healthcare sold. education sold greenbelt sold but here he crawls out of his hole and you let him to complain about something he would have done for a dollar in his corrupt pocket.,"['toronto', 'star', 'let', 'a', 'talk', 'screw', 'ups', 'someone', 'else', 'a', 'healthcare', 'sold', 'education', 'sold', 'greenbul', 'sold', 'crawl', 'hole', 'let', 'complain', 'something', 'would', 'done', 'dollar', 'corrupt', 'pocket']",-0.5,Negative
"@user @user so why isn't she pressing charges? if you are her mom, she probably lies like u do.","['not', 'pressing', 'charge', 'mom', 'probably', 'lie', 'like', 'u']",0.0,Neutral
@user @user have you reached out to our support team to help answer your questions about your ups? here are two ways to contact us - via support ticket http or for immediate support: 1-877-297-6937,"['reached', 'support', 'team', 'help', 'answer', 'question', 'ups', 'two', 'way', 'contact', 'u', 'via', 'support', 'ticket', 'immediate', 'support', '1-877-297-6937']",0.0,Neutral
"@user hello, thank you for reaching out. we are very sorry for the inconvenience. if you provide me via dm with your personal info. (full name, e-mail, and phone) as well as the package's tracking number, i'd be glad to look into it. -alex http","['hello', 'thank', 'reaching', 'sorry', 'inconvenience', 'provide', 'via', 'direct message', 'personal', 'info', 'full', 'name', 'email', 'phone', 'well', 'package', 'is', 'tracking', 'number', 'id', 'glad', 'look', 'alex']",0.09,Neutral
@user why ups lost my package and turned down my claim????,"['ups', 'lost', 'package', 'turned', 'claim']",0.0,Neutral
"🎓 we’re here to help you celebrate the graduate in your life! 🎉 we print graduation banners or lawn signs, party invitations and more. http http","['a', 'a', 'help', 'celebrate', 'graduate', 'life', 'a', 'print', 'graduation', 'banner', 'lawn', 'sign', 'party', 'invitation']",0.0,Neutral
"🚀 soar to success at the canadiansme small business expo 2023! 📈 don't miss out on this golden chance; reserve your booth today at http

@user @user @user @user @user @user http","['a', 'soar', 'success', 'canadiansme', 'small', 'business', 'expo', '2023', 'a', 'not', 'miss', 'golden', 'chance', 'reserve', 'booth', 'today']",0.11666666666666665,Neutral
"the canadiansme small business expo 2023 on june 16th at the metro toronto convention centre is the perfect opportunity to gain exposure for your business!  reserve your spot at http

@user @user @user @user @user @user http","['canadiansme', 'small', 'business', 'expo', '2023', 'june', 'with', 'metro', 'toronto', 'convention', 'centre', 'perfect', 'opportunity', 'gain', 'exposure', 'business', 'reserve', 'spot']",0.375,Postive
@user food banks are a sign we are a communist country. we used to laugh at russia for having bread line ups. there were none in canada until the early eighties. they represent a failure of multiple governments regardless of who was in power.,"['food', 'bank', 'sign', 'communist', 'country', 'used', 'laugh', 'russia', 'bread', 'line', 'ups', 'none', 'canada', 'early', 'eighty', 'represent', 'failure', 'multiple', 'government', 'regardless', 'power']",0.02083333333333333,Neutral
"we’re coming to calgary! join us on thursday, september 28, 2023 at the bmo centre at stampede park for @user  #startupcanadatour. we’ll be bringing together early stage entrepreneurs to drive their businesses forward. register today at http http","['a', 'coming', 'calgary', 'join', 'u', 'thursday', 'september', 'gt', '2023', 'bio', 'centre', 'stampede', 'park', 'startupcanadatour', 'a', 'bringing', 'together', 'early', 'stage', 'entrepreneur', 'drive', 'business', 'forward', 'register', 'today']",0.1,Neutral
"today’s @user small business of the day is esteri collections

each of her designed outfits narrates stories of the beautiful african culture and traditions.

http

#shoplocalfirst #canadiansme #smallbiz http","['today', 'a', 'small', 'business', 'day', 'ester', 'collection', 'designed', 'outfit', 'narrates', 'story', 'beautiful', 'african', 'culture', 'tradition', 'shoplocalfirst', 'canadiansme', 'smallbiz']",0.19999999999999998,Neutral
"we are grateful to @user for helping us ✨deliver✨ on our promise to:
📦run/walk/roll/volunteer with pride
📦support our 2slgbtq+ community and beneficiaries
📦make this year’s pride &amp; remembrance run the best one yet!

#rememberyourwhy #lgbtq #pride #running #prideto","['grateful', 'helping', 'u', 'delivery', 'promise', '📦run/walk/roll/volunteer', 'pride', 'support', '2slgbtq+', 'community', 'beneficiary', 'make', 'year', 'a', 'pride', 'amp', 'remembrance', 'run', 'best', 'one', 'yet', 'rememberyourwhy', 'lgbtq', 'pride', 'running', 'pride']",1.0,Postive
"ups canada, fusion pharmaceuticals with new hamilton facilities http","['ups', 'canada', 'fusion', 'pharmaceutical', 'new', 'hamilton', 'facility']",0.13636363636363635,Neutral
"@user @user w5682731356 
i spent 2 months traying to correct same address ups delivered parcel to last yr without response from ups office. 
exception reason: street number is incorrect. except resolution: the parcel was undeliverable and been disposed of according to local guide http","['w5682731356', 'spent', 'a', 'month', 'trying', 'correct', 'address', 'ups', 'delivered', 'parcel', 'last', 'yr', 'without', 'response', 'ups', 'office', 'exception', 'reason', 'street', 'number', 'incorrect', 'except', 'resolution', 'parcel', 'undeliverable', 'disposed', 'according', 'local', 'guide']",-0.03333333333333333,Neutral
@user @user @user @user @user so 100 women loosing the opportunity to compete due to men playing dress ups ok with you? how long until they are taking the paying jobs? equal pay won't matter then.. and in canada abortion is nothing more than a dog whistle.,"['100', 'woman', 'looking', 'opportunity', 'compete', 'due', 'men', 'playing', 'dress', 'ups', 'ok', 'long', 'taking', 'paying', 'job', 'equal', 'pay', 'wo', 'not', 'matter', 'gt', 'canada', 'abortion', 'nothing', 'dog', 'whistle']",0.08125,Neutral
@user i remember australia and canada saying the same thing.,"['remember', 'australia', 'canada', 'saying', 'thing']",0.0,Neutral
@user @user i still haven't even got my copy 6 months later lol.  @user/@user having some real issues getting vinyl into canada apparently lol,"['still', 'not', 'even', 'got', 'copy', 'a', 'month', 'later', 'laugh out loud', 'real', 'issue', 'getting', 'vinyl', 'canada', 'apparently', 'laugh out loud']",0.1666666666666667,Neutral
"mentor on road canada in numbers &amp; outcome
10 may to 31 may 2023

met 
700 sme's
104 start ups 
100's of old friends and acquaintances of 24 years ( my first visit to canada was in 1999 ) 
62 women owned businesses 
31 events conducted 
26 tourist sites visited 
read in comments http","['mentor', 'road', 'canada', 'number', 'amp', 'outcome', 'gt', 'may', 'gt', 'may', '2023', 'met', '700', 'seems', '104', 'start', 'ups', '100', 'is', 'old', 'friend', 'acquaintance', 'gt', 'year', 'first', 'visit', 'canada', '1999', 'gt', 'woman', 'owned', 'business', 'gt', 'event', 'conducted', 'gt', 'tourist', 'site', 'visited', 'read', 'comment']",0.175,Neutral
@user … can you hear the “thud” when he drops the box from waist level?? he didn’t know what was in the box you may be thinking … then you see the lithium battery sticker on the outside of the box 🤔 http,"['a', 'hear', 'a', 'thus', 'a', 'drop', 'box', 'waist', 'level', 'a', 'know', 'box', 'may', 'thinking', 'a', 'see', 'lithium', 'battery', 'sticker', 'outside', 'box', 'a']",0.0,Neutral
here’s the care and attention @user takes when delivering new laptops from @user http,"['a', 'care', 'attention', 'take', 'delivering', 'new', 'laptop']",0.13636363636363635,Neutral
"@user push ups, squats, and lots and lots of walking for now. i also do leg presses when i can","['push', 'ups', 'squat', 'lot', 'lot', 'walking', 'also', 'leg', 'press']",0.0,Neutral
@user cover up over cover up this is the trudeau liberal/ccp/ndp coalition government and the ndp supported all these cover ups you know you can't vote for them next time around. men with no respect or loyalty to canada,"['cover', 'cover', 'trudeau', 'liberal/ccp/ndp', 'coalition', 'government', 'ndp', 'supported', 'cover', 'ups', 'know', 'ca', 'not', 'vote', 'next', 'time', 'around', 'men', 'respect', 'loyalty', 'canada']",0.0,Neutral
"learn tips from #experts on how #small #businesses can create strong customer relationships &amp; increase #customer #loyalty from your current customers. watch this us ups #webinar to learn more about customer loyalty for small businesses: http

@user","['learn', 'tip', 'expert', 'small', 'business', 'create', 'strong', 'customer', 'relationship', 'amp', 'increase', 'customer', 'loyalty', 'current', 'customer', 'watch', 'u', 'ups', 'seminar', 'learn', 'customer', 'loyalty', 'small', 'business']",-0.016666666666666677,Neutral
@user pp is standing against the measures jt put in place as a band aide for jt’s colossal fuck ups.  jt created the need for these measures and now he is virtue signalling to the mindless liberal 🐑 and new canadians who think his fake “free” handouts are what makes canada great.,"['pp', 'standing', 'measure', 'jt', 'put', 'place', 'band', 'aide', 'jt', 'a', 'colossal', 'fuck', 'ups', 'jt', 'created', 'need', 'measure', 'virtue', 'signalling', 'mindless', 'liberal', 'a', 'new', 'canadian', 'think', 'fake', 'a', 'free', 'a', 'handout', 'make', 'canada', 'great']",0.07662337662337662,Neutral
"a bunch of these rainbow-washing companies also operate in canada: @user, @user, @user, @user, @user, @user, @user, @user, @user, @user. #pridemonth #pride2023 http","['bunch', 'rainbow-washing', 'company', 'also', 'operate', 'canada', 'pridemonth', 'pride2023']",0.0,Neutral
