content,tokenized_content,sentiment,sentiment_type
dear @user the products are cool but the customer service is absolute garbage.  if anyone is thinking of buying a #dyson pray nothing goes wrong with your item. it’s a horrible experience &amp; it ends with me personally returning the items to purolator though it’s their mistake,"['dear', 'product', 'cool', 'customer', 'service', 'absolute', 'garbage', 'anyone', 'thinking', 'buying', 'tyson', 'pray', 'nothing', 'go', 'wrong', 'item', 'a', 'horrible', 'experience', 'amp', 'end', 'personally', 'returning', 'item', 'purolator', 'though', 'a', 'mistake']",-0.19,Neutral
"@user hi krista, we'll contact the depot to see if it can be intercepted and made available for pick up for you. thanks. -catherine","['hi', 'lista', 'all', 'contact', 'depot', 'see', 'intercepted', 'made', 'available', 'pick', 'thanks', 'catherine']",0.30000000000000004,Postive
"@user hi lu, we're sorry to hear about this incident. the police will open an investigation and will reach out to our loss and prevention team, if needed. you can dm me the contact info you have for the claims, we'll make sure someone reaches out to you in timely fashion. -catherine","['hi', 'lu', 'are', 'sorry', 'hear', 'incident', 'police', 'open', 'investigation', 'reach', 'loss', 'prevention', 'team', 'needed', 'direct message', 'contact', 'info', 'claim', 'all', 'make', 'sure', 'someone', 'reach', 'timely', 'fashion', 'catherine']",0.024999999999999994,Neutral
"@user hello, our sincere apologies. can you please send us a dm with the tracking number? thanks. - delphine","['hello', 'sincere', 'apology', 'please', 'send', 'u', 'direct message', 'tracking', 'number', 'thanks', 'dolphin']",0.26666666666666666,Neutral
"sitting at home with the door open and @user @user 
somehow manages to tell me they missed me.

been here all day. #purolator

this happens all the time. try actually knocking. or literally anything. http","['sitting', 'home', 'door', 'open', 'somehow', 'manages', 'tell', 'missed', 'day', 'purolator', 'happens', 'time', 'try', 'actually', 'knocking', 'literally', 'anything']",0.0,Neutral
"we're proud to be launching the first ever #edmonton purolator tackle hunger red bag campaign kicking off this saturday, june 10, in support of @user. learn more about purolator tackle hunger at http","['are', 'proud', 'launching', 'first', 'ever', 'edmonton', 'purolator', 'tackle', 'hunger', 'red', 'bag', 'campaign', 'kicking', 'saturday', 'june', 'gt', 'support', 'learn', 'purolator', 'tackle', 'hunger']",0.35000000000000003,Postive
"purolator: we can't deliver we could not find your buzzer

me: i don't have a buzzer

purolator: please provide a buzzer #

me: there isn't one just call me

purolator: buzz plz http","['purolator', 'ca', 'not', 'deliver', 'could', 'find', 'buzzer', 'not', 'buzzer', 'purolator', 'please', 'provide', 'buzzer', 'not', 'one', 'call', 'purolator', 'buzz', 'plz']",0.0,Neutral
"@user yeah only got shipping for azure in canada, usually ships with purolator, but this time it’s tforce…🤞🏼","['yeah', 'got', 'shipping', 'azure', 'canada', 'usually', 'ship', 'purolator', 'time', 'a', 'tforce…🤞🏼']",-0.25,Neutral
@user i've sent a request for pickup today to let the depot know the item is ready. they will pickup anytime between now and 4:00 pm today. -vanessa,"['ve', 'sent', 'request', 'pickup', 'today', 'let', 'depot', 'know', 'item', 'ready', 'pickup', 'anytime', '4:00', 'pm', 'today', 'vanessa']",0.2,Neutral
check out this new and used toyota oil filter!! http #truck  #engine #oil #fram #motorcraft  #purolator #mobil #supertech #autorepair,"['check', 'new', 'used', 'toyota', 'oil', 'filter', 'truck', 'engine', 'oil', 'from', 'motorcraft', 'purolator', 'mobil', 'supertech', 'autorepair']",0.13636363636363635,Neutral
