content,tokenized_content,sentiment,sentiment_type
"@user that’s weimar canada, post-national, woke, permissive of all sorts of degeneracy, spiritually broken.","['a', 'wear', 'canada', 'post-national', 'woke', 'permissive', 'sort', 'degenerate', 'spiritually', 'broken']",-0.4,Negative
"@user i paid 12pricing canada post, as well as my full festival pass, only for my tickets to not arrive and no assistance 🫨","['paid', 'pricing', 'canada', 'post', 'well', 'full', 'festival', 'pas', 'ticket', 'arrive', 'assistance', 'a']",0.35,Postive
"canada post stamp, 2011, zodic rabbit, animal stamp, good condition collection, mnh fslhmou

http http","['canada', 'post', 'stamp', '2011', 'zodiac', 'rabbit', 'animal', 'stamp', 'good', 'condition', 'collection', 'mph', 'fslhmou']",0.7,Postive
"this arrived on time today!! 
thank you canada post!! http","['arrived', 'time', 'today', 'thank', 'canada', 'post']",0.0,Neutral
@user @user hi - please send us a dm with your mailing address so we can look into this.,"['hi', 'please', 'send', 'u', 'direct message', 'mailing', 'address', 'look']",0.1,Neutral
"a bank i have accounts at mailed me a pretty flyer inviting me to take on credit at 10% interest. hmmm. they are pissing away perfectly good money, they are, wasting paper, ink and time, but at least they’re keeping canada post busy.","['bank', 'account', 'mailed', 'pretty', 'flyer', 'inviting', 'take', 'credit', 'gt', 'interest', 'mmm', 'missing', 'away', 'perfectly', 'good', 'money', 'wasting', 'paper', 'ink', 'time', 'least', 'a', 'keeping', 'canada', 'post', 'busy']",0.11000000000000001,Neutral
"ups continues its record of having never successfully delivered a package to me. even fedex manages it, albeit always with an error, delay, or extra charge.

i've never had a problem with canada post, intelcom, or dhl.
i love dhl.","['ups', 'continues', 'record', 'never', 'successfully', 'delivered', 'package', 'even', 'index', 'manages', 'albeit', 'always', 'error', 'delay', 'extra', 'charge', 've', 'never', 'problem', 'canada', 'post', 'intelcom', 'del', 'love', 'del']",0.041666666666666664,Neutral
"why is it so impossible to speak with someone local @user by phone? i spent over an hour today being passed around to different people on the mainland who were not able to help me and just kept giving me more 1-800 numbers to try, where i would get the same response!","['impossible', 'speak', 'someone', 'local', 'phone', 'spent', 'hour', 'today', 'passed', 'around', 'different', 'people', 'mainland', 'able', 'help', 'kept', 'giving', '1-800', 'number', 'try', 'would', 'get', 'response']",-0.05333333333333332,Neutral
"@user hi, can you dm us you’re tracking number so we can take a further look?","['hi', 'direct message', 'u', 'a', 'tracking', 'number', 'take', 'look']",0.1,Neutral
"full delivery and postal services will resume once conditions improve and it’s safe to do so. the safety of our employees is our number one priority.

we thank those affected for their patience in this difficult time.

(4/4)","['full', 'delivery', 'postal', 'service', 'resume', 'condition', 'improve', 'a', 'safe', 'safety', 'employee', 'number', 'one', 'priority', 'thank', 'affected', 'patience', 'difficult', 'time', '4/4']",0.11666666666666665,Neutral
"a yellow service alert means we are going to do our best to deliver, but there may be delays in the following regions due to poor air quality from wildfires:
· normetal, que.
· outaouais, que.

(3/4)","['yellow', 'service', 'alert', 'mean', 'going', 'best', 'deliver', 'may', 'delay', 'following', 'region', 'due', 'poor', 'air', 'quality', 'wildfire', 'a', 'normal', 'que', 'a', 'outaouais', 'que', '3/4']",0.044642857142857144,Neutral
"today, there are no deliveries in the following regions as weather conditions from wildfires have made it unsafe:
· lebel-sur-quevillon, que.
· lac-simon, que.

(2/4)","['today', 'delivery', 'following', 'region', 'weather', 'condition', 'wildfire', 'made', 'unsafe', 'a', 'lebel-sur-quevillon', 'que', 'a', 'lac-simon', 'que', '2/4']",0.0,Neutral
"update: canada post service alerts for june 6: red and yellow delivery service alerts issued for parts of quebec

(1/4)","['update', 'canada', 'post', 'service', 'alert', 'june', 'a', 'red', 'yellow', 'delivery', 'service', 'alert', 'issued', 'part', 'quebec', '1/4']",0.0,Neutral
"full delivery and postal services will resume once conditions improve and it’s safe to do so. more information can be found on our closures and interruptions webpage: http

we thank those affected for their patience in this difficult time.

(2/2)","['full', 'delivery', 'postal', 'service', 'resume', 'condition', 'improve', 'a', 'safe', 'information', 'found', 'closure', 'interruption', 'webpage', 'thank', 'affected', 'patience', 'difficult', 'time', '2/2']",0.11666666666666665,Neutral
"canada post service alerts for june 6: red delivery service alert issued for parts of alberta

today, there are no deliveries in the following regions as weather conditions from wildfires have made it unsafe:
· fox lake, alta.
· fort chipewyan, alta.

(1/2)","['canada', 'post', 'service', 'alert', 'june', 'a', 'red', 'delivery', 'service', 'alert', 'issued', 'part', 'alberta', 'today', 'delivery', 'following', 'region', 'weather', 'condition', 'wildfire', 'made', 'unsafe', 'a', 'fox', 'lake', 'alta', 'a', 'fort', 'chipewyan', 'alta', '1/2']",0.0,Neutral
"@user @user @user indeed.

incidentally, in an unrelated matter, i declared myself to be independently wealthy by winning the lottery, despite not having bought a ticket. 

for some reason, the cheque just hasn't arrived... canada post must be to blame...💲

#notalllottowinnersbuytickets","['indeed', 'incidentally', 'unrelated', 'matter', 'declared', 'independently', 'wealthy', 'winning', 'lottery', 'despite', 'bought', 'ticket', 'reason', 'cheque', 'not', 'arrived', '...', 'canada', 'post', 'must', 'blame', '...', 'a', 'notalllottowinnersbuytickets']",0.5,Postive
"i'll trade one of these hideously fetching, limited edition, pez collectibles, of your choice, to someone within the canada post/continental us mail reach, in exchange for officially nominating this article on the pulitzer prize site, for the cost of pricing75usd. http","['all', 'trade', 'one', 'hideous', 'etching', 'limited', 'edition', 'pez', 'collectible', 'choice', 'someone', 'within', 'canada', 'post/continental', 'u', 'mail', 'reach', 'exchange', 'officially', 'nominating', 'article', 'pulitzer', 'prize', 'site', 'cost', 'pricing75usd']",-0.2857142857142857,Neutral
