content,tokenized_content,sentiment,sentiment_type
"@user that’s weimar canada, post-national, woke, permissive of all sorts of degeneracy, spiritually broken.","['a', 'wear', 'canada', 'post-national', 'woke', 'permissive', 'sort', 'degenerate', 'spiritually', 'broken']",-0.4,Negative
"we thank those affected for their patience in this difficult time.

(5/5)","['thank', 'affected', 'patience', 'difficult', 'time', '5/5']",-0.5,Negative
@user @user issue means it's been printed. all canada passport has to do give it to canada post.,"['issue', 'mean', 'is', 'printed', 'canada', 'passport', 'give', 'canada', 'post']",-0.3125,Negative
"@user hi there - we're disappointed to read this. if you would like to lodge a formal complaint regarding any of our delivery agents, please get in touch with our customer service team at 1-866-607-6301.","['hi', 'are', 'disappointed', 'read', 'would', 'like', 'lodge', 'formal', 'complaint', 'regarding', 'delivery', 'agent', 'please', 'get', 'touch', 'customer', 'service', 'team', '1-866-607-6301']",-0.525,Negative
"@user hi there, we take these issues very seriously and urge you to formally report this to our support team at 1-866-607-6301.","['hi', 'take', 'issue', 'seriously', 'urge', 'formally', 'report', 'support', 'team', '1-866-607-6301']",-0.3333333333333333,Negative
"@user can u plz investigate canadapost? they have bad reputation as a canadian postage company,lots of complain about delay,missing package","['u', 'plz', 'investigate', 'canadapost', 'bad', 'reputation', 'canadian', 'postage', 'company', 'lot', 'complain', 'delay', 'missing', 'package']",-0.44999999999999996,Negative
"all 3 of these people hate canada in some way shape or form. the last group just hates canada post 1960 and calls themselves patriots towards the pre maple leaf flag era or canadian colonial history. 

it’s funny since the 3rd group here are almost always under 30","['a', 'people', 'hate', 'canada', 'way', 'shape', 'form', 'last', 'group', 'hate', 'canada', 'post', '1960', 'call', 'patriot', 'towards', 'pre', 'maple', 'leaf', 'flag', 'era', 'canadian', 'colonial', 'history', 'a', 'funny', 'since', 'rd', 'group', 'almost', 'always', 'gt']",-0.3375,Negative
"@user your online id verification system is a joke. tried probably 10x, but it was always either too close or move closer and never worked. also, the only canada
post options are in qc? ridiculous.","['online', 'id', 'verification', 'system', 'joke', 'tried', 'probably', 'x', 'always', 'either', 'close', 'move', 'closer', 'never', 'worked', 'also', 'canada', 'post', 'option', 'qc', 'ridiculous']",-0.3333333333333333,Negative
@user canada post is so terrible it’s like they find new ways to fuck up everytime i’ve went thru them,"['canada', 'post', 'terrible', 'a', 'like', 'find', 'new', 'way', 'fuck', 'overtime', 'a', 'went', 'thru']",-0.4212121212121212,Negative
what r the worst shipping companies ever and why is it ups &amp; canada post,"['r', 'worst', 'shipping', 'company', 'ever', 'ups', 'amp', 'canada', 'post']",-1.0,Negative
"canada post, needs to stop delivering this cult information.  
 
damn, what’s a jehovahs witness convention?  frightening. http","['canada', 'post', 'need', 'stop', 'delivering', 'cult', 'information', 'damn', 'a', 'jehovah', 'witness', 'convention', 'frightening']",-0.5,Negative
we thank those affected for their patience in this difficult time.,"['thank', 'affected', 'patience', 'difficult', 'time']",-0.5,Negative
"@user it is really horrible. i just want to see my track and it is down, ihad never got notice by cellphone although i was asked to add this option, i think canada post shall learn from your competiters","['really', 'horrible', 'want', 'see', 'track', 'had', 'never', 'got', 'notice', 'cellphone', 'although', 'asked', 'add', 'option', 'think', 'canada', 'post', 'shall', 'learn', 'competitors']",-1.0,Negative
"@user hi canada post, do you know of any issues with your online tools? est desktop is extremely slow and offline.","['hi', 'canada', 'post', 'know', 'issue', 'online', 'tool', 'est', 'desktop', 'extremely', 'slow', 'offline']",-0.30000000000000004,Negative
"@user hi there. for residential mail, we deliver mail monday to friday from 9:00 a.m. until as late as 8:00 p.m. for businesses, we deliver mail monday to friday from 9:00 a.m. until 5:00 p.m. every effort is made to accommodate business hours along each route.  

we do not deliver 1/2","['hi', 'residential', 'mail', 'deliver', 'mail', 'monday', 'friday', '9:00', 'amp', 'late', '8:00', 'pm', 'business', 'deliver', 'mail', 'monday', 'friday', '9:00', 'amp', '5:00', 'pm', 'every', 'effort', 'made', 'accommodate', 'business', 'hour', 'along', 'route', 'deliver', '1/2']",-0.3,Negative
we thank those affected for their patience in this difficult time.,"['thank', 'affected', 'patience', 'difficult', 'time']",-0.5,Negative
"fyi scam alert - some dirtbag tried to scam me with a text. it was basically a fake, canada post driver unable to deliver package nobody home, tap this link bullshit","['for your information', 'scam', 'alert', 'dirtbag', 'tried', 'scam', 'text', 'basically', 'fake', 'canada', 'post', 'driver', 'unable', 'deliver', 'package', 'nobody', 'home', 'tap', 'link', 'bullshit']",-0.5,Negative
@user hi there- if an item of yours was delivered to the wrong location we apologize. we suggest reporting this formally to our customer support team at 1-866-607-6301,"['hi', 'there', 'item', 'delivered', 'wrong', 'location', 'apologize', 'suggest', 'reporting', 'formally', 'customer', 'support', 'team', '1-866-607-6301']",-0.5,Negative
canada post delivery people literally ring your door bell once and drive off like at least give me time to get to the door. 🙄🙄,"['canada', 'post', 'delivery', 'people', 'literally', 'ring', 'door', 'bell', 'drive', 'like', 'least', 'give', 'time', 'get', 'door', 'gt']",-0.3,Negative
@user worst team canada post ever !! 🏆🥇,"['worst', 'team', 'canada', 'post', 'ever', 'gt']",-1.0,Negative
"we thank those affected for their patience in this difficult time.

(3/3)","['thank', 'affected', 'patience', 'difficult', 'time', '3/3']",-0.5,Negative
the concert is just over a week away i didn’t pre plan to limit a “didn’t get to go” breakdown so now i don’t even want to order anything cause i would trust a criminal before i trust canada post,"['concert', 'week', 'away', 'a', 'pre', 'plan', 'limit', 'a', 'a', 'get', 'go', 'a', 'breakdown', 'a', 'even', 'want', 'order', 'anything', 'cause', 'would', 'trust', 'criminal', 'trust', 'canada', 'post']",-0.4,Negative
canada post i hate u why do you take so long,"['canada', 'post', 'hate', 'u', 'take', 'long']",-0.42500000000000004,Negative
"@user @user been home all day! no one rang the doorbell or asked to be buzzed in!! 
just left the delivery notice on my doorstep. 
unacceptable levels of service! is this how service gets defined in a 'developed nation'? #disgusted #canadapost #workdodger http","['home', 'day', 'one', 'rang', 'doorbell', 'asked', 'buzzer', 'left', 'delivery', 'notice', 'doorstep', 'unacceptable', 'level', 'service', 'service', 'get', 'defined', 'developed', 'nation', 'disgusted', 'canadapost', 'workdodger']",-0.3,Negative
baffled that canada post still hasn’t figured out that people have doorbell cams these days. putting a “sorry we missed you…” sticker on the door and running off without knocking or ringing the bell is the height of laziness at work. you’re literally already there…,"['baffled', 'canada', 'post', 'still', 'a', 'figured', 'people', 'doorbell', 'cam', 'day', 'putting', 'a', 'sorry', 'missed', 'you', 'a', 'sticker', 'door', 'running', 'without', 'knocking', 'ringing', 'bell', 'height', 'laziness', 'work', 'a', 'literally', 'already', 'there']",-0.5,Negative
we thank those affected for their patience in this difficult time.,"['thank', 'affected', 'patience', 'difficult', 'time']",-0.5,Negative
we thank those affected for their patience in this difficult time.,"['thank', 'affected', 'patience', 'difficult', 'time']",-0.5,Negative
@user @user see if you can maybe get a flex delivery p.o. box with canada post! it’s basically a false p.o. box and they hold the item for you to go pick it up,"['see', 'maybe', 'get', 'flex', 'delivery', 'pro', 'box', 'canada', 'post', 'a', 'basically', 'false', 'pro', 'box', 'hold', 'item', 'go', 'pick']",-0.4000000000000001,Negative
"more information can be found on our closures and interruptions webpage: http

we thank those affected for their patience in this difficult time.

(3/3)","['information', 'found', 'closure', 'interruption', 'webpage', 'thank', 'affected', 'patience', 'difficult', 'time', '3/3']",-0.5,Negative
why does canada post insist on sending carriers out to deliver fucking flyers everyday?  my mailbox is ninety fucking percent fast-food flyers.,"['canada', 'post', 'insist', 'sending', 'carrier', 'deliver', 'fucking', 'flyer', 'everyday', 'parlbox', 'ninety', 'fucking', 'percent', 'fast-food', 'flyer']",-0.4666666666666666,Negative
"can someone tell me why canada post tracking is so ridiculous? i literally don’t care what time it comes, i’m at work all day. i want to know what day. http","['someone', 'tell', 'canada', 'post', 'tracking', 'ridiculous', 'literally', 'a', 'care', 'time', 'come', 'a', 'work', 'day', 'want', 'know', 'day']",-0.3333333333333333,Negative
today i got a notification that my package was delivered to my community mailbox but it was either not delivered or placed in the wrong mailbox. @user @user #canadapost,"['today', 'got', 'notification', 'package', 'delivered', 'community', 'parlbox', 'either', 'delivered', 'placed', 'wrong', 'parlbox', 'canadapost']",-0.5,Negative
"just found out today i need a pricing400 car part instead of pricing180, someone fucking gauged my car mirror, and canada post broke my second package this week totalling pricing160 in money lost for me 😊✌️ http","['found', 'today', 'need', 'pricing400', 'car', 'part', 'instead', 'pricing180', 'someone', 'fucking', 'gauge', 'car', 'mirror', 'canada', 'post', 'broke', 'second', 'package', 'week', 'totalling', 'pricing160', 'money', 'lost', '😊✌️']",-0.3,Negative
canada post why must you fail me,"['canada', 'post', 'must', 'fail']",-0.5,Negative
@user fuck canada post all my homies hate canada post,"['fuck', 'canada', 'post', 'homes', 'hate', 'canada', 'post']",-0.6000000000000001,Negative
canada post playing games with my heart,"['canada', 'post', 'playing', 'game', 'heart']",-0.4,Negative
"the #canadapost fucking sucks. i paid almost pricing70 usd to send my gf gifts for her birthday and i found out she gotta pay pricing45 cad to recieve it??? the fuck i pay pricing70 for, then?! scam artists!","['canadapost', 'fucking', 'suck', 'paid', 'almost', 'pricing', 'usd', 'send', 'gf', 'gift', 'birthday', 'found', 'got', 'ta', 'pay', 'pricing', 'cad', 'receive', 'fuck', 'pay', 'pricing', 'scam', 'artist']",-0.5,Negative
"i have an ant infestation, my sink is leaking, canada post is drving me insane ahhhhhhb","['ant', 'infestation', 'sink', 'leaking', 'canada', 'post', 'driving', 'insane', 'ahhhhhhb']",-1.0,Negative
"i also think a friend of mine mailed me something last month that i also have not gotten, because canada post is awful","['also', 'think', 'friend', 'mine', 'mailed', 'something', 'last', 'month', 'also', 'gotten', 'canada', 'post', 'awful']",-0.5,Negative
"waiting for packages that don't come from canada post is difficult because i never know when they're going to show up. it puts me in task paralysis. i can't start anything because what if i need to race downstairs to get my shit before they go ""fuck it"" and leave??","['waiting', 'package', 'not', 'come', 'canada', 'post', 'difficult', 'never', 'know', 'are', 'going', 'show', 'put', 'task', 'paralysis', 'ca', 'not', 'start', 'anything', 'need', 'race', 'downstairs', 'get', 'shit', 'go', 'gt', 'fuck', 'gt', 'leave']",-0.3666666666666667,Negative
so canada post doesn’t offer single  stamped envelopes anymore?  stupid!,"['canada', 'post', 'a', 'offer', 'single', 'stamped', 'envelope', 'anymore', 'stupid']",-0.43571428571428567,Negative
man fuck canada post. didn't even try to deliver put the notice in the mailbox. wish they weren't so garbage compared to any other postal service.,"['man', 'fuck', 'canada', 'post', 'not', 'even', 'try', 'deliver', 'put', 'notice', 'parlbox', 'wish', 'not', 'garbage', 'compared', 'postal', 'service']",-0.4,Negative
semi-regular reminder that i have negative opinions for canada post. http,"['semi-regular', 'reminder', 'negative', 'opinion', 'canada', 'post']",-0.3,Negative
"so disappointed with canada post, they never sent my package and also didn’t give me the package back. so i wasted my money for the shipment and also my product was stolen without any guarantee  @user @user @user @user #canadapost","['disappointed', 'canada', 'post', 'never', 'sent', 'package', 'also', 'a', 'give', 'package', 'back', 'wasted', 'money', 'shipment', 'also', 'product', 'stolen', 'without', 'guarantee', 'canadapost']",-0.31666666666666665,Negative
canada post drivers why are you nincompoops so fucking incompetent??? http,"['canada', 'post', 'driver', 'nincompoop', 'fucking', 'incompetent']",-0.35,Negative
"@user  hi canada post its been a month my parcel is showing at custom receive indela, since 29-4- 2023. what is this mean ?","['hi', 'canada', 'post', 'month', 'parcel', 'showing', 'custom', 'receive', 'index', 'since', '29-4-', '2023.', 'mean']",-0.3125,Negative
also got a email from canada post that i have a shipment coming in but the only thing i ordered was from aliexpress and canada post never emails me stuff from ali so wtf is the package?,"['also', 'got', 'email', 'canada', 'post', 'shipment', 'coming', 'thing', 'ordered', 'lexpress', 'canada', 'post', 'never', 'email', 'stuff', 'ali', 'wtf', 'package']",-0.5,Negative
@user how about people who are affected because canada post is a lazy broken business,"['people', 'affected', 'canada', 'post', 'lazy', 'broken', 'business']",-0.325,Negative
@user please note that canada post is a broken business that can't deliver on time ever and has the most useless unhelpful customer service ever. customer service at canada post is a waste of money,"['please', 'note', 'canada', 'post', 'broken', 'business', 'ca', 'not', 'deliver', 'time', 'ever', 'useless', 'unhelpful', 'customer', 'service', 'ever', 'customer', 'service', 'canada', 'post', 'waste', 'money']",-0.3666666666666667,Negative
"@user it's so expensive. canada post treats books like packages and you get charged for the weight and distance, unlike for letters.","['is', 'expensive', 'canada', 'post', 'treat', 'book', 'like', 'package', 'get', 'charged', 'weight', 'distance', 'unlike', 'letter']",-0.5,Negative
ohhhhh boy do i hate canada post yes i do yes i do.,"['ohhhhh', 'boy', 'hate', 'canada', 'post', 'yes', 'yes']",-0.8,Negative
@user you already did and gave me some bs answer without even looking at the canada post website but just going by your crappy tracking info. absolutely useless and pathetic.,"['already', 'gave', 'b', 'answer', 'without', 'even', 'looking', 'canada', 'post', 'website', 'going', 'crappy', 'tracking', 'info', 'absolutely', 'useless', 'pathetic']",-0.75,Negative
